time,Est_V1,Est_V2,Est_V3,Est_V4,Est_V5,Est_V6,Est_V7,Est_V8
1981-03-03,0.18858036,0.38219935,0.03654278,0.3531022,6.632266,0.93882686,0.45123824,3.1393275
1981-03-04,0.09565002,1.1552122,0.053259023,0.11330115,1.7328823,0.07804012,0.06715262,0.24634513
1981-03-05,17.515709,10.251143,17.24492,8.610894,9.767718,15.273283,9.909175,8.950399
1981-03-06,4.812654,2.0059566,1.6067569,0.43212286,2.6518738,2.4628766,0.56221473,2.4437556
1981-03-07,11.192782,8.134617,9.925375,7.725624,14.779626,7.716827,9.168965,15.906354
1981-03-08,1.8826147,3.2606742,0.58895147,3.2990396,12.353622,3.340796,4.025609,9.998277
1981-03-09,18.30232,11.433624,27.043337,13.810212,10.287169,13.0250025,9.72795,9.344211
1981-03-10,4.1187906,1.2157336,9.967765,5.5369654,6.445951,4.809621,8.81095,7.8648753
1981-03-11,2.3421931,2.4246862,5.197953,4.1461744,5.9241557,4.721626,4.8692827,6.918867
1981-03-12,6.051551,1.0319172,8.548731,0.78363943,0.732856,6.080678,2.568326,1.5745867
1981-03-13,3.9366148,4.596909,1.4070705,5.3028526,5.4505224,0.5754,2.4212205,3.3841958
1981-03-14,0.19900936,0.44212195,1.017707,0.3718603,0.13191736,0.22953892,0.058581844,0.078922614
1981-03-15,4.7147517,2.5659072,5.0825343,3.4917662,1.7034378,5.3687963,5.5068874,2.5092034
1981-03-16,0.14444068,0.15539448,0.02925479,0.04077753,0.07663102,0.00032872576,0.00049343554,0.051312342
1981-03-17,0.3889037,0.06071634,7.299277,3.5737236,2.9586344,5.872499,4.6259747,3.6458848
1981-03-18,18.761248,13.998329,7.1027884,12.433097,16.00568,8.10414,10.026107,12.006237
1981-03-19,2.7223043,1.6029187,4.0336595,3.0247605,1.7017374,3.5912502,2.9126096,2.6109433
1981-03-20,0.1451203,1.0697745,0.054205656,0.09310077,2.875778,0.3459193,0.012184461,0.00022698802
1981-03-21,15.423183,6.9342675,17.331284,4.230132,3.4117913,4.2317567,1.1037518,2.0621054
1981-03-22,0.020237941,0.023214564,0.1421684,0.26635766,0.9219116,1.0094047,1.5916208,1.6176327
1981-03-23,0.7140125,1.5550661,2.5029268,5.352171,4.1921306,6.229784,7.598482,4.981786
1981-03-24,8.917273,3.2247527,5.424842,1.4596494,0.9872244,0.6085322,0.14756899,0.24097885
1981-03-25,0.08436824,0.21634719,0.09902133,0.6466422,3.2854307,0.7494818,0.9991966,1.2180724
1981-03-26,0.0037726795,0.06300627,0.046446215,0.09984149,0.347419,1.0481185,0.104878016,0.2891988
1981-03-27,0.00064767717,0.0006228525,0.012983473,0.0,0.052620776,0.00026060146,7.616829e-05,0.0
1981-03-28,0.058517765,0.004357514,0.08207098,0.0023119575,0.03143471,0.004982423,0.0024343121,0.0032288241
1981-03-29,0.8043893,0.11877635,0.036821067,0.12752934,0.3793301,0.02842846,0.019566843,0.08562311
1981-03-30,9.025228,7.2912936,1.1366358,3.817965,5.742733,0.06876184,0.35741976,1.9946889
1981-03-31,0.0,0.0,0.0066724764,0.0,0.0,0.022076251,0.0,0.0
1981-04-01,0.010140894,3.5808381e-16,0.048409503,5.7123833e-07,0.031201217,4.6927303e-16,0.016324228,0.0038383799
1981-04-02,0.18003324,0.20403431,0.013948633,0.029125396,0.54258096,0.49729067,0.014083033,0.028887311
1981-04-03,1.3718002,0.31667113,0.267923,1.338204,3.0707855,1.3604898,2.414929,2.5905182
1981-04-04,2.000643,2.0579486,0.20798251,2.0507553,3.9000819,0.8636416,3.828658,4.9110293
1981-04-05,1.0228852,1.006167,3.9087589,3.2012098,4.3463173,1.1747085,4.445065,5.636807
1981-04-06,0.38813916,0.10782598,0.15827118,1.789952,3.8600118,0.28900585,2.5009022,4.7117014
1981-04-07,10.132128,5.3668847,9.36172,5.2815275,5.761699,6.120241,6.257671,6.831333
1981-04-08,5.4725957,1.9384905,2.3924818,0.6846177,2.395295,2.3369493,0.26561126,2.2668197
1981-04-09,0.038201682,0.19218956,0.180039,0.33178237,3.1480038,1.2746162,1.0924492,1.6461562
1981-04-10,7.987372,4.3069987,0.7322792,0.70796615,2.402547,3.414929,2.0671613,1.8549082
1981-04-11,1.5104403,2.1776135,10.147484,3.8037565,4.5730577,13.090327,9.385969,6.2256055
1981-04-12,0.68040633,0.2514026,0.35183334,0.039551828,0.006691375,0.2536741,0.014602563,0.008663275
1981-04-13,0.0,0.0,0.0,0.0047310274,0.0,0.0,0.0,0.0
1981-04-14,0.0,0.00026197184,0.0029461703,0.016482057,0.0025401292,0.0011724969,0.0004607282,0.0012195581
1981-04-15,0.069465764,0.016525947,0.96852684,0.674757,0.06674315,0.18598823,0.14411835,0.067837894
1981-04-16,2.811921,1.7915777,2.126162,0.426203,0.783168,1.6532466,0.47535053,0.31533146
