z,Est_V1,Est_V2,Est_V3,Est_V4,Est_V5,Est_V6,Est_V7,Est_V8
1981-02-17 12:00:00,1.254376,4.0748243,5.0161295,4.9644237,6.0529976,9.598884,7.843828,6.2033725
1981-02-18 12:00:00,3.1228914,9.420056,7.429194,6.4140067,5.9712377,9.058311,9.669823,8.798879
1981-02-19 12:00:00,3.6993308,8.368828,10.9813,7.6776686,6.683713,21.472708,13.357378,8.721963
1981-02-20 12:00:00,3.5627582,9.839717,10.43318,8.365259,7.442097,20.71358,11.935273,10.19498
1981-02-21 12:00:00,0.9057672,2.4184282,4.3894806,3.758847,4.352759,11.038058,6.709085,6.2384644
1981-02-22 12:00:00,0.76006234,1.8156664,4.0422273,2.6522768,2.3012638,11.664895,5.269784,3.745717
1981-02-23 12:00:00,4.2518435,9.70885,12.259613,9.665917,8.583349,21.762753,15.313907,10.577855
1981-02-24 12:00:00,1.3014393,8.108627,3.5918858,5.082552,5.9276094,2.5938072,4.1388226,9.854727
1981-02-25 12:00:00,1.6719015,4.516951,4.240298,4.492695,4.4467616,5.116636,4.4423876,4.76594
1981-02-26 12:00:00,0.9462948,3.0010011,3.5495248,3.3769233,3.9991767,7.28142,5.4919777,4.6140647
1981-02-27 12:00:00,1.0962039,3.1367252,4.700615,3.7740283,3.6235743,13.868524,7.6900682,5.1445475
1981-02-28 12:00:00,0.633501,1.7986542,2.4414325,2.0427272,1.9636258,5.9475636,3.8685284,3.1939805
1981-03-01 12:00:00,0.0,0.0,7.919915,6.3088,3.71007,1.2338448,1.2732795,2.054669
1981-03-02 12:00:00,4.436967,12.879364,4.2112823,3.6681247,2.5626953,4.643098,2.2183206,2.587555
1981-03-03 12:00:00,2.957876,7.6238813,2.9111958,2.213852,1.39351,3.3823378,1.3067309,1.2020015
1981-03-04 12:00:00,5.9578605,15.105752,5.2175694,4.3208303,2.649868,3.5087998,2.297086,2.7513154
1981-03-05 12:00:00,1.512234,8.694794,7.5657454,6.1188827,4.021151,4.491136,2.8293474,3.3174233
1981-03-06 12:00:00,1.2961624,4.87912,2.0973783,2.4880743,3.3619597,1.6313621,1.5112494,2.3063538
1981-03-07 12:00:00,1.1642392,12.337413,6.9461603,5.954513,6.25738,6.3641424,0.39872783,2.7294056
1981-03-08 12:00:00,5.239377,16.785782,5.183847,6.9173594,6.0749373,3.4469147,3.6483846,4.7185135
1981-03-09 12:00:00,3.2919784,23.392569,11.057198,5.6556754,4.2972937,4.5635495,3.030289,2.4949892
1981-03-10 12:00:00,3.4046888,8.736377,8.939918,7.960597,4.463081,3.7475142,2.9181283,4.151074
1981-03-11 12:00:00,6.5456495,16.219513,8.569859,9.047999,4.963217,8.572367,2.9533665,5.2237606
1981-03-12 12:00:00,3.2504938,8.739549,4.967174,2.9521177,1.9054209,2.640121,1.8977575,2.3066955
1981-03-13 12:00:00,1.8246917,9.0321455,2.0217125,3.5582032,2.250281,1.4815365,1.6297367,1.6856592
1981-03-14 12:00:00,0.5964255,3.524562,0.72532994,0.75948405,0.79254967,0.6099352,0.85843706,1.5336463
1981-03-15 12:00:00,2.302114,4.646885,2.669286,1.9707526,0.8834945,2.4649687,0.8957927,0.43547535
1981-03-16 12:00:00,1.1749723,2.20989,0.96312237,0.8633631,0.66302454,0.51222795,0.4027379,0.4166785
1981-03-17 12:00:00,0.7850909,1.4781456,6.9633937,4.0976954,0.6943584,6.415779,1.7857032,0.9024265
1981-03-18 12:00:00,14.503712,83.02247,10.697941,16.880337,15.28045,6.1086907,5.939992,7.010045
1981-03-19 12:00:00,1.5865499,5.003478,2.2318702,1.6410767,1.3047677,1.9513024,1.0223839,1.1781173
1981-03-20 12:00:00,0.31897572,0.66500175,0.76230544,0.676319,0.8720631,1.3103765,0.66568375,0.8531605
1981-03-21 12:00:00,0.75237316,6.9698,6.1040516,3.4693518,1.7285835,1.0279323,0.9403956,1.8215393
1981-03-22 12:00:00,3.0099862,7.3071065,3.7523172,3.1891549,2.3009796,3.8844852,2.8213894,2.8228347
1981-03-23 12:00:00,0.98043185,2.49889,1.0639381,2.064999,1.4700861,2.3428519,0.95935506,0.9220871
1981-03-24 12:00:00,4.684263,11.463102,5.3553977,2.071587,3.636247,1.4239972,0.8502358,1.0994693
1981-03-25 12:00:00,3.341629,8.311098,2.9695578,2.6684382,1.8391724,2.0533867,1.1659012,1.5661987
1981-03-26 12:00:00,0.90821993,2.4606037,1.3725289,1.3886063,1.4500936,0.9637289,0.920614,3.2871528
1981-03-27 12:00:00,0.8980764,1.8943611,1.152722,0.7733459,0.36593434,1.2756788,0.43543693,0.33308163
1981-03-28 12:00:00,1.1172476,2.4753258,1.059205,0.82527095,0.41465202,0.5974331,0.35103053,0.35128754
1981-03-29 12:00:00,0.18996856,0.40815505,0.31723726,0.23625202,0.053560324,0.22664163,0.16566882,0.13296042
1981-03-30 12:00:00,0.86916906,4.6186223,0.6426822,1.7480005,1.0217166,0.53572845,0.38883373,0.4380933
1981-03-31 12:00:00,1.3227453,3.5138514,1.3272712,1.2556376,1.0197538,0.8451007,0.60746735,0.74266124
1981-04-01 12:00:00,0.054668296,0.09943505,0.13351177,0.09499404,0.070575446,0.15737674,0.12672935,0.10658158
1981-04-02 12:00:00,0.16113707,0.38577348,0.5035072,0.393106,0.40732482,1.7467328,0.6708681,0.55338204
1981-04-03 12:00:00,0.5626136,0.713458,1.1439402,0.9610288,0.8496129,2.4131918,1.371016,1.4652792
1981-04-04 12:00:00,0.20804429,1.5682153,1.0033317,1.3041023,1.0653828,3.240051,2.0651221,1.7854761
1981-04-05 12:00:00,2.9357378,6.2842216,4.8477187,3.6153824,3.1228209,6.6684127,3.7616847,3.782473
1981-04-06 12:00:00,0.78404135,1.7211295,2.1136246,1.8802229,2.1762733,2.796989,3.0817175,3.3771915
1981-04-07 12:00:00,0.36646765,1.5090922,5.789808,3.3084545,1.8909582,11.538943,3.5082703,2.7672913
1981-04-08 12:00:00,0.63820165,2.2239895,1.573042,1.554729,1.8258767,2.2691078,1.9731116,2.7411036
1981-04-09 12:00:00,0.39274856,0.97643596,0.9004207,0.90626013,1.4190991,3.573708,1.8471031,1.6639869
1981-04-10 12:00:00,0.0,6.2925086,0.3437181,0.30716518,0.46796972,6.191716,2.4045632,2.3892
1981-04-11 12:00:00,0.22065139,0.62353307,3.6684237,1.5669073,0.79887384,5.4909086,2.0081108,1.4023721
1981-04-12 12:00:00,0.82436734,0.6639555,0.9030152,0.5334197,0.38053548,2.4916465,0.7757458,0.49393314
1981-04-13 12:00:00,0.05673946,0.101935126,0.13730536,0.10755166,0.1527589,0.14316498,0.12551543,0.16455866
1981-04-14 12:00:00,0.41771653,0.23392855,0.2527913,0.25829214,0.4684047,0.26197702,0.29191622,0.47628227
1981-04-15 12:00:00,0.07253074,0.090711676,0.23330884,5.252544,0.2700532,0.31017706,0.24452814,0.30756077
1981-04-16 12:00:00,0.5934334,0.0,2.3958945,0.0,0.0,5.430212,0.0,0.029006144
1981-04-17 12:00:00,0.11656365,0.24178791,0.18869309,2.616796,0.13667674,0.0,2.2214866,0.19545887
1981-04-18 12:00:00,0.0,2.8659725,0.02737517,0.7413116,0.45754188,0.25701004,0.13641709,0.1419854
1981-04-19 12:00:00,0.08164407,0.13108282,0.25315526,0.10693202,0.060796186,0.19356482,0.12395031,0.082538374
1981-04-20 12:00:00,0.045364246,0.10277293,0.08324808,0.058766786,0.036533535,0.07702286,0.058748722,0.044507943
1981-04-21 12:00:00,0.17250542,0.29120922,0.6571949,0.3539865,0.16113152,3.5884614,0.86500716,0.3029732
1981-04-22 12:00:00,0.055224616,0.115498014,0.13131134,0.11736855,0.17750955,0.13186425,0.12856865,0.17822896
1981-04-23 12:00:00,0.0,0.0,1.3687688,0.0,0.017451398,0.0,0.007745269,0.071772054
1981-04-24 12:00:00,0.41815457,1.2844354,0.44343084,0.0,0.0,0.0,0.0,0.00030673572
1981-04-25 12:00:00,0.0047605354,0.00034267176,0.06042986,0.16616452,0.13092157,0.07081144,0.07587234,0.11157775
1981-04-26 12:00:00,0.0,0.65690404,0.40593272,0.66137636,0.0923668,0.0,0.18950342,0.0
1981-04-27 12:00:00,0.062249724,0.64071715,0.38169685,0.0,0.0,0.0,0.0,0.0
1981-04-28 12:00:00,0.26579097,1.0828112,0.5319149,0.64959186,0.8110748,0.44752297,2.0839715,2.5534682
1981-04-29 12:00:00,0.3857483,0.7996945,0.81987035,0.5638005,0.43399036,0.8774156,0.58598465,0.45876577
